"Qubit","T1 (us)","T2 (us)","판독 지정 오류","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID 오류","단일 큐비트 게이트 길이 (ns)","RX 오류","Z축 회전(rz) 오류","√x (sx) 오류","Pauli-X 오류","CZ 오류","게이트 길이 (ns)","RZZ 오류","MEASURE 오류","Operational"
"0","343.1034236919593","37.34402963265975","0.029052734375","0.0556640625","0.00244140625","2584","0.00032569065126768107","36","0.00032569065126768107","0","0.00032569065126768107","0.00032569065126768107","1:0.002156514863293435","1:68","1:0.0015954572986556503","0.029052734375","Yes"
"1","179.34913544072927","171.69793418927978","0.006103515625","0.01123046875","0.0009765625","2584","0.00016955477024924734","36","0.00016955477024924734","0","0.00016955477024924734","0.00016955477024924734","2:0.0010016102448405229;0:0.002156514863293435","2:68;0:68","2:0.001266453098790754;0:0.0015954572986556503","0.006103515625","Yes"
"2","174.18195952507332","203.28648835597053","0.00439453125","0.0068359375","0.001953125","2584","0.00014542886511668818","36","0.00014542886511668818","0","0.00014542886511668818","0.00014542886511668818","1:0.0010016102448405229;3:0.0018052691794011866","1:68;3:68","1:0.001266453098790754;3:0.0016204573851203996","0.00439453125","Yes"
"3","268.41844537563816","200.5177814072054","0.007568359375","0.00927734375","0.005859375","2584","0.00024828558275236817","36","0.00024828558275236817","0","0.00024828558275236817","0.00024828558275236817","16:0.0021116341651876702;2:0.0018052691794011866;4:0.00232190336321475","16:68;2:68;4:80","16:0.00161605443204485;2:0.0016204573851203996;4:0.002158416700957122","0.007568359375","Yes"
"4","167.17365369585755","201.05475146984","0.006103515625","0.01123046875","0.0009765625","2584","0.0002973247384566336","36","0.0002973247384566336","0","0.0002973247384566336","0.0002973247384566336","3:0.00232190336321475;5:0.002380496630705331","3:80;5:68","3:0.002158416700957122;5:0.0025500506391252786","0.006103515625","Yes"
"5","273.88879146080586","260.84756725498625","0.003173828125","0.00390625","0.00244140625","2584","0.00023488809433135058","36","0.00023488809433135058","0","0.00023488809433135058","0.00023488809433135058","6:0.001872694796110519;4:0.002380496630705331","6:68;4:68","6:0.0011151669636374761;4:0.0025500506391252786","0.003173828125","Yes"
"6","294.47901205498084","299.54962490664605","0.005859375","0.009765625","0.001953125","2584","0.00026856376892076174","36","0.00026856376892076174","0","0.00026856376892076174","0.00026856376892076174","5:0.001872694796110519;7:0.0016721536297141792","5:68;7:68","5:0.0011151669636374761;7:0.0014150450448151553","0.005859375","Yes"
"7","309.1720157926597","139.14447023833532","0.003173828125","0.00537109375","0.0009765625","2584","0.00022863473111544227","36","0.00022863473111544227","0","0.00022863473111544227","0.00022863473111544227","17:0.0014317864711852757;6:0.0016721536297141792;8:0.0026603674166228997","17:68;6:68;8:80","17:0.001617286092300968;6:0.0014150450448151553;8:0.0021475269779716033","0.003173828125","Yes"
"8","240.749453593239","142.80894691775325","0.012939453125","0.01953125","0.00634765625","2584","0.00020628985407183714","36","0.00020628985407183714","0","0.00020628985407183714","0.00020628985407183714","9:0.0023015946063003334;7:0.0026603674166228997","9:68;7:80","9:0.0016920295993664847;7:0.0021475269779716033","0.012939453125","Yes"
"9","120.00437309773743","127.10521355300777","0.1240234375","0.2314453125","0.0166015625","2584","0.00019118177128254823","36","0.00019118177128254823","0","0.00019118177128254823","0.00019118177128254823","8:0.0023015946063003334;10:0.002070713199666979","8:68;10:68","8:0.0016920295993664847;10:0.0015692922869741943","0.1240234375","Yes"
"10","258.1498833235368","227.3024856633918","0.01123046875","0.0205078125","0.001953125","2584","0.00026303098127200927","36","0.00026303098127200927","0","0.00026303098127200927","0.00026303098127200927","9:0.002070713199666979;11:0.0025432250881472773","9:68;11:68","9:0.0015692922869741943;11:0.0019415860111067496","0.01123046875","Yes"
"11","344.7409748925775","261.87728677165785","0.029541015625","0.05224609375","0.0068359375","2584","0.00034211157600895546","36","0.00034211157600895546","0","0.00034211157600895546","0.00034211157600895546","18:0.0017074448143218346;10:0.0025432250881472773;12:0.0012478710143227767","18:68;10:68;12:68","18:0.0018800555805255914;10:0.0019415860111067496;12:0.0011122077131555663","0.029541015625","Yes"
